2026-09-01 20:47:52,620 [WARNING] Missing file pair for lead f0720h. Skipping.
VAR   | LEAD   | RMSE     | BIAS     | ACC     | FCST MIN/MAX           | TRUTH MIN/MAX
---------------------------------------------------------------------------------------------------------
T     | f006h  | 96.1654  | -95.1480 | 0.0000  | 188.67 / 188.67        | 226.49 / 315.76
T     | f012h  | 96.1412  | -95.1077 | -0.0000 | 188.67 / 188.67        | 222.80 / 313.86
T     | f018h  | 95.9114  | -94.9253 | 0.0000  | 188.67 / 188.67        | 222.36 / 309.98
T     | f024h  | 95.9969  | -95.0433 | 0.0000  | 188.67 / 188.67        | 225.64 / 310.76
T     | f030h  | 96.2042  | -95.2026 | -0.0000 | 188.67 / 188.67        | 220.82 / 315.19
T     | f036h  | 96.1475  | -95.1229 | 0.0000  | 188.67 / 188.67        | 220.32 / 312.90
T     | f042h  | 95.8879  | -94.8952 | 0.0000  | 188.67 / 188.67        | 218.71 / 309.87
T     | f048h  | 95.9512  | -94.9862 | 0.0000  | 188.67 / 188.67        | 224.41 / 312.23
T     | f054h  | 96.2010  | -95.1820 | -0.0000 | 188.67 / 188.67        | 216.56 / 316.02
T     | f060h  | 96.1787  | -95.1414 | 0.0000  | 188.67 / 188.67        | 217.72 / 313.81
T     | f066h  | 95.9342  | -94.9317 | 0.0000  | 188.67 / 188.67        | 220.03 / 310.41
T     | f072h  | 96.0824  | -95.1028 | -0.0000 | 188.67 / 188.67        | 221.61 / 312.01
T     | f078h  | 96.3982  | -95.3547 | 0.0000  | 188.67 / 188.67        | 218.82 / 316.35
T     | f084h  | 96.3128  | -95.2419 | 0.0000  | 188.67 / 188.67        | 217.42 / 313.92
T     | f090h  | 96.0439  | -94.9979 | 0.0000  | 188.67 / 188.67        | 217.42 / 311.54
T     | f096h  | 96.1535  | -95.1366 | -0.0000 | 188.67 / 188.67        | 222.21 / 312.95
T     | f102h  | 96.4546  | -95.3786 | 0.0000  | 188.67 / 188.67        | 220.92 / 314.68
T     | f108h  | 96.4114  | -95.3084 | 0.0000  | 188.67 / 188.67        | 219.34 / 315.38
T     | f114h  | 96.1275  | -95.0575 | 0.0000  | 188.67 / 188.67        | 218.54 / 313.40
T     | f120h  | 96.1852  | -95.1561 | 0.0000  | 188.67 / 188.67        | 222.81 / 313.03
---------------------------------------------------------------------------------------------------------
P     | f006h  | 18.7167  | -18.4500 | 0.9571  | 877.66 / 966.92        | 894.89 / 974.13
P     | f012h  | 34.8354  | -34.4786 | 0.8925  | 864.35 / 951.68        | 894.94 / 981.37
P     | f018h  | 45.0373  | -44.4440 | 0.7482  | 855.45 / 941.34        | 898.36 / 983.19
P     | f024h  | 56.9117  | -56.2060 | 0.6369  | 845.08 / 928.55        | 901.12 / 972.96
P     | f030h  | 69.8271  | -69.1144 | 0.5467  | 830.33 / 915.41        | 903.41 / 974.08
P     | f036h  | 83.1342  | -82.4566 | 0.4999  | 818.03 / 901.37        | 900.97 / 982.35
P     | f042h  | 96.3824  | -95.7738 | 0.4686  | 803.86 / 889.16        | 897.36 / 985.25
P     | f048h  | 109.4709 | -108.9007 | 0.4542  | 791.51 / 879.06        | 896.82 / 969.58
P     | f054h  | 122.4404 | -121.9170 | 0.4296  | 778.08 / 865.57        | 897.07 / 969.84
P     | f060h  | 135.2654 | -134.7609 | 0.4089  | 765.88 / 855.02        | 898.08 / 983.11
P     | f066h  | 147.6892 | -147.2063 | 0.3768  | 751.24 / 841.31        | 900.76 / 993.41
P     | f072h  | 159.8176 | -159.3349 | 0.3560  | 739.07 / 830.73        | 901.40 / 978.52
P     | f078h  | 171.7841 | -171.3131 | 0.3315  | 725.20 / 820.27        | 902.71 / 980.62
P     | f084h  | 183.5759 | -183.0995 | 0.3152  | 712.81 / 811.23        | 901.29 / 997.77
P     | f090h  | 195.0085 | -194.5278 | 0.2847  | 699.92 / 801.53        | 900.49 / 1003.85
P     | f096h  | 206.1191 | -205.6177 | 0.2636  | 687.35 / 794.12        | 899.96 / 980.51
P     | f102h  | 217.1341 | -216.6179 | 0.2353  | 674.33 / 785.24        | 902.42 / 979.26
P     | f108h  | 227.9751 | -227.4326 | 0.2157  | 661.34 / 778.17        | 901.27 / 984.45
P     | f114h  | 238.4907 | -237.9302 | 0.1909  | 648.87 / 770.09        | 899.10 / 991.65
P     | f120h  | 248.6414 | -248.0567 | 0.1820  | 636.83 / 763.06        | 897.03 / 976.32
---------------------------------------------------------------------------------------------------------
U     | f006h  | 8.6335   | -7.5774  | 0.8818  | -47.50 / 26.84         | -42.38 / 41.17
U     | f012h  | 16.3185  | -15.3419 | 0.7830  | -54.75 / 18.36         | -38.39 / 41.07
U     | f018h  | 23.4950  | -22.6437 | 0.7143  | -60.80 / 9.72          | -46.91 / 35.75
U     | f024h  | 30.4363  | -29.6721 | 0.6578  | -67.73 / 2.59          | -47.18 / 36.01
U     | f030h  | 37.3424  | -36.6299 | 0.6093  | -74.27 / -5.69         | -43.87 / 42.78
U     | f036h  | 44.0488  | -43.4134 | 0.5893  | -80.49 / -13.09        | -44.59 / 39.98
U     | f042h  | 50.5164  | -49.9604 | 0.5797  | -87.28 / -20.89        | -39.23 / 42.95
U     | f048h  | 56.9680  | -56.4666 | 0.5655  | -93.55 / -28.21        | -36.72 / 42.09
U     | f054h  | 63.3106  | -62.8358 | 0.5326  | -99.72 / -34.20        | -44.54 / 43.41
U     | f060h  | 69.6019  | -69.1483 | 0.5056  | -105.76 / -39.79       | -40.93 / 45.02
U     | f066h  | 75.6901  | -75.2667 | 0.4960  | -111.59 / -45.47       | -40.81 / 43.59
U     | f072h  | 81.7309  | -81.3170 | 0.4778  | -117.40 / -50.75       | -40.77 / 39.37
U     | f078h  | 87.8129  | -87.4016 | 0.4430  | -120.00 / -56.05       | -39.86 / 40.31
U     | f084h  | 93.7657  | -93.3400 | 0.4063  | -120.00 / -60.19       | -42.47 / 37.72
U     | f090h  | 99.6309  | -99.1997 | 0.3816  | -120.00 / -63.84       | -42.06 / 40.36
U     | f096h  | 105.3198 | -104.8864 | 0.3578  | -120.00 / -66.84       | -41.31 / 38.93
U     | f102h  | 110.6409 | -110.2237 | 0.3261  | -120.00 / -70.15       | -40.02 / 42.31
U     | f108h  | 114.6359 | -114.2516 | 0.2835  | -120.00 / -72.68       | -42.87 / 44.68
U     | f114h  | 117.1892 | -116.8408 | 0.2357  | -120.00 / -75.65       | -51.69 / 34.55
U     | f120h  | 118.6757 | -118.3492 | 0.1915  | -120.00 / -77.99       | -51.84 / 36.81
---------------------------------------------------------------------------------------------------------
V     | f006h  | 6.0597   | -4.0391  | 0.7647  | -44.91 / 37.63         | -39.47 / 40.67
V     | f012h  | 11.3136  | -9.4861  | 0.5666  | -48.44 / 31.35         | -40.58 / 42.19
V     | f018h  | 14.8965  | -13.0636 | 0.4346  | -55.34 / 28.67         | -42.37 / 39.14
V     | f024h  | 18.4748  | -16.8370 | 0.3535  | -59.16 / 22.39         | -46.55 / 43.98
V     | f030h  | 22.0138  | -20.4862 | 0.2738  | -60.69 / 18.46         | -50.48 / 49.50
V     | f036h  | 25.6848  | -24.2929 | 0.2256  | -65.78 / 13.71         | -44.69 / 49.33
V     | f042h  | 29.2506  | -28.0341 | 0.2426  | -69.66 / 10.64         | -48.42 / 54.63
V     | f048h  | 32.7424  | -31.6971 | 0.2588  | -73.74 / 6.08          | -45.05 / 53.98
V     | f054h  | 36.2303  | -35.2712 | 0.2335  | -77.48 / 2.52          | -45.59 / 51.13
V     | f060h  | 39.8360  | -38.9269 | 0.1882  | -82.41 / -1.97         | -40.69 / 50.96
V     | f066h  | 43.2681  | -42.4110 | 0.1804  | -85.79 / -5.52         | -38.38 / 41.04
V     | f072h  | 46.6266  | -45.8406 | 0.1794  | -90.43 / -9.92         | -38.27 / 50.10
V     | f078h  | 50.0045  | -49.2614 | 0.1729  | -93.31 / -13.45        | -35.60 / 37.43
V     | f084h  | 53.3889  | -52.6543 | 0.1613  | -97.67 / -17.39        | -39.44 / 38.38
V     | f090h  | 56.6948  | -55.9686 | 0.1672  | -100.22 / -21.55       | -32.59 / 37.53
